Usuario,Perfil,Conectou OF (S/N),Achado entregue,Tipo do achado,Delta Ld estimado (dias),Data entrega,Agiu em 14d (S/N),Dias ate agir,Delta Ld real (dias),Onde travou,Reacao (1-5),Quer recorrente (S/N),Notas
,caixa parado,,,,,,,,,,,,
,caixa apertado / divida cara,,,,,,,,,,,,
,multibanco / bagunca,,,,,,,,,,,,
,normal,,,,,,,,,,,,
,normal,,,,,,,,,,,,
